"Token","n"
"probablemente",324
"comité",323
"formato",323
"fragmentario",323
"podar",323
"pérdida",323
"rango",323
"suscribir",323
"afectación",322
"cierre",322
"competente",322
"consignar",322
"preguntado",322
"resaltar",322
"sanción",322
"selva",322
"dialógico",321
"impartir",321
"sacado",321
"ausencia",320
"calificar",320
"desaparecer",320
"bcg",319
"voluntariamente",319
"alcaldía",318
"ametralladora",318
"hágalir",318
"pieza",318
"tal",318
"accionar",317
"hable",317
"informo",317
"lógica",317
"magistr",317
"mil",316
"ortegar",315
"pr",315
"testimonio",315
"afinidad",314
"consideración",314
"definido",314
"hilario",314
"nu",314
"parecía",314
"pedido",314
"unido",314
"delegación",313
"estación",313
"quedo",313
"cop",312
"delincuencial",312
"existencia",312
"quemar",312
"distinta",311
"eje",311
"independiente",311
"reflexión",311
"amarrado",310
"anzar",310
"baj",310
"defender",310
"ediser",310
"maecha",310
"diego",309
"podrer",309
"ponerle",309
"requerir",309
"secretaría",309
"giraldo",308
"indígeno",308
"asesinar-",307
"designado",307
"instalar",307
"olvidar",307
"desembarcar",306
"henry",306
"ituango",306
"cruzar",305
"entrar-",305
"exactitud",305
"momentico",305
"vierne",305
"llegarar",304
"primero",304
"subversivo",304
"culpar",303
"fallecido",303
"hostigamiento",303
"prenda",303
"relativamente",303
"sal",303
"aceptación",302
"actual",302
"alusión",302
"delictivo",302
"cuestionario",301
"individual",301
"rilla",301
"zapata",301
"legalidad",300
"nacer",300
"particularmente",300
"tratado",300
"vínculo",300
"correa",299
"ingreso",299
"má",299
"tien",299
"diverso",298
"entidad",298
"habitual",298
"ocurrencia",298
"segundo",298
"injerencia",297
"insistir",297
"intentar",297
"tolima",297
"usar",297
"alojamiento",296
"bonilla",296
"concretamente",296
"inspector",296
"perfectamente",296
"char",295
"masacre",295
"pista",295
